domain,platform,country
rakuza.co.kr,Marketplace,KR
m.rakuza.co.kr,Marketplace,KR
rakuza.com,Marketplace,KR
vendora.com.br,Marketplace,BR
vendora.mx,Marketplace,MX
pay.vendora.com.br,Payments,BR
zenkart.co.id,Super App,ID
zenkart.sg,Super App,SG
payhub.io,Payments,GLOBAL
api.payhub.io,Payments,GLOBAL
mercora.com,Marketplace,GLOBAL
mercora.ru,Marketplace,RU
lumina-retail.com,Retail,SG
luminahome.com,Retail,SG
pay.lumina-retail.com,Payments,SG
skyfare.com,Travel,TH
nomadly.travel,Travel,FR
kiosko.cl,Retail,CL
kiosko.pe,Retail,PE
bytecart.io,Search,GLOBAL
freshroute.id,Food Delivery,ID
freshroute.my,Food Delivery,MY
globalwear.com,Fashion,DE
globalwear.eu,Fashion,EU
tokopanda.co.id,Marketplace,ID
pixelbay.io,Digital Assets,GLOBAL
gateway.dfproxy.net,Proxy Network,GLOBAL
edge.dfproxy.net,Proxy Network,GLOBAL
auth.dfnet.io,Account Network,GLOBAL
