usage_date,client_id,service_type,domain,action,product_id,invoice_category,timezone,bandwidth_mb,total_request,success_request,usd_rate,revenue_usd
2026-01-01,1,Scraper,rakuza.co.kr,rakuza-pdp,1,Rakuza/Retail,Asia/Seoul,0.0,32054,30789,0.00300000,92.367000
2026-01-01,1,Scraper,m.rakuza.co.kr,rakuza-mobile-pdp,2,Rakuza/Retail,Asia/Seoul,0.0,15264,14871,0.00300000,44.613000
2026-01-01,1,Scraper,rakuza.co.kr,rakuza-plp,3,Rakuza/Retail,Asia/Seoul,0.0,23246,21554,0.00150000,32.331000
2026-01-01,1,Scraper,rakuza.com,rakuza-deal,5,Rakuza Promo,Asia/Seoul,0.0,17908,16605,0.00125000,20.756250
2026-01-01,1,Scraper,rakuza.com,rakuza-brand-store,7,Rakuza Promo,Asia/Seoul,0.0,14115,13709,0.00125000,17.136250
2026-01-01,1,Scraper,rakuza.co.kr,rakuza-coupon,9,Rakuza Promo,Asia/Seoul,0.0,27400,26480,0.00060000,15.888000
2026-01-01,2,Payments,pay.vendora.com.br,vendora-checkout,17,Payments/Vendora,America/Sao_Paulo,0.0,30678,28754,0.00028000,8.051120
2026-01-01,2,Proxy,gateway.dfproxy.net,proxy-vendora-t1,13,Proxy Gateway,Asia/Jakarta,72318.06,895057,870501,0.00045000,32.543127
2026-01-01,2,Proxy,edge.dfproxy.net,proxy-vendora-t2,15,Proxy Edge,Indian/Cocos,25473.81,292860,271631,0.00050000,12.736905
2026-01-01,2,Scraper,vendora.com.br,vendora-pdp,12,Vendora/Retail,America/Sao_Paulo,0.0,33035,32325,0.00180000,58.185000
2026-01-01,2,Scraper,vendora.mx,vendora-mx-plp,14,Vendora/Retail LATAM,America/Sao_Paulo,0.0,14528,13700,0.00150000,20.550000
2026-01-01,2,Scraper,vendora.com.br,vendora-seller,16,Vendora Marketplace,America/Sao_Paulo,0.0,10636,10223,0.00090000,9.200700
2026-01-01,2,Scraper,vendora.com.br,vendora-category,18,Vendora Discovery,America/Sao_Paulo,0.0,13285,12566,0.00090000,11.309400
2026-01-01,3,Proxy,gateway.dfproxy.net,proxy-zenkart-t1,21,Proxy Gateway,Indian/Cocos,42535.61,464120,446256,0.00048000,20.417093
2026-01-01,3,Proxy,edge.dfproxy.net,proxy-zenkart-t2,25,Proxy Edge,Asia/Jakarta,22846.57,276374,257239,0.00050000,11.423285
2026-01-01,3,Scraper,zenkart.co.id,zenkart-pdp,20,Zenkart/Retail,Asia/Jakarta,0.0,22007,20811,0.00180000,37.459800
2026-01-01,3,Scraper,zenkart.co.id,zenkart-food,22,Food Regular Zenkart,Asia/Jakarta,0.0,12584,12417,0.00110000,13.658700
2026-01-01,3,Scraper,zenkart.sg,zenkart-sg-plp,23,Zenkart/Retail SG,Asia/Jakarta,0.0,5516,5281,0.00150000,7.921500
2026-01-01,3,Scraper,zenkart.co.id,zenkart-transport,24,Transport,Asia/Jakarta,0.0,8559,8281,0.00090000,7.452900
2026-01-01,3,Scraper,zenkart.co.id,zenkart-brand-store,26,Zenkart Promo,Asia/Jakarta,0.0,7744,7512,0.00125000,9.390000
2026-01-01,3,Scraper,zenkart.sg,zenkart-voucher,27,Zenkart Promo,Asia/Jakarta,0.0,16656,16315,0.00060000,9.789000
2026-01-01,4,Payments,payhub.io,payhub-retail,29,Payments/Retail,UTC,0.0,154459,142812,0.00028000,39.987360
2026-01-01,4,Payments,payhub.io,payhub-subscription,30,Payments/Subscription,UTC,0.0,59088,56847,0.00028000,15.917160
2026-01-01,4,Payments,api.payhub.io,payhub-payout,31,Payments/Payout,UTC,0.0,31528,30300,0.00032000,9.696000
2026-01-01,5,Proxy,gateway.dfproxy.net,proxy-mercora-t1,36,Proxy Gateway,Asia/Seoul,31548.74,441435,435777,0.00045000,14.196933
2026-01-01,5,Scraper,mercora.com,mercora-pdp,34,Mercora/Retail,Europe/Moscow,0.0,20784,19456,0.00180000,35.020800
2026-01-01,5,Scraper,mercora.com,mercora-price,35,Mercora Pricing,Europe/Moscow,0.0,14809,13905,0.00120000,16.686000
2026-01-01,5,Scraper,mercora.ru,mercora-seller,37,Mercora Marketplace,Europe/Moscow,0.0,9328,8678,0.00090000,7.810200
2026-01-01,5,Scraper,mercora.ru,mercora-review,38,Mercora Reviews,Europe/Moscow,0.0,13863,13022,0.00060000,7.813200
2026-01-01,6,Payments,pay.lumina-retail.com,lumina-checkout,43,Payments/Lumina,Asia/Singapore,0.0,10233,10009,0.00028000,2.802520
2026-01-01,6,Proxy,gateway.dfproxy.net,proxy-lumina-t1,41,Proxy Gateway,UTC,20761.31,266430,263331,0.00048000,9.965429
2026-01-01,6,Scraper,lumina-retail.com,lumina-pdp,40,Lumina/Retail,Asia/Singapore,0.0,13304,12929,0.00180000,23.272200
2026-01-01,6,Scraper,luminahome.com,lumina-home-plp,42,Lumina Home,Asia/Singapore,0.0,5110,4710,0.00150000,7.065000
2026-01-01,6,Scraper,lumina-retail.com,lumina-stock,44,Lumina Inventory,Asia/Singapore,0.0,4323,4009,0.00090000,3.608100
2026-01-01,6,Scraper,luminahome.com,lumina-review,45,Lumina Reviews,Asia/Singapore,0.0,8048,7554,0.00060000,4.532400
2026-01-01,7,Scraper,skyfare.com,skyfare-fare,46,Skyfare/Flights,Asia/Bangkok,0.0,6981,6602,0.00250000,16.505000
2026-01-01,7,Scraper,skyfare.com,skyfare-bundle,47,Skyfare Ancillary,Asia/Bangkok,0.0,5562,5269,0.00120000,6.322800
2026-01-01,7,Scraper,skyfare.com,skyfare-seat,48,Skyfare/Flights,Asia/Bangkok,0.0,5500,5178,0.00090000,4.660200
2026-01-01,7,Scraper,skyfare.com,skyfare-baggage,49,Skyfare Ancillary,Asia/Bangkok,0.0,4817,4533,0.00060000,2.719800
2026-01-01,8,Proxy,edge.dfproxy.net,proxy-nomadly-t1,51,Proxy Edge,Indian/Cocos,11744.13,118716,111157,0.00050000,5.872065
2026-01-01,8,Scraper,nomadly.travel,nomadly-hotel,50,Nomadly/Hotels,Europe/Paris,0.0,7574,7494,0.00220000,16.486800
2026-01-01,8,Scraper,nomadly.travel,nomadly-prorate,52,Nomadly Prorate,Europe/Paris,0.0,4163,4032,0.00090000,3.628800
2026-01-01,8,Scraper,nomadly.travel,nomadly-review,53,Nomadly Reviews,Europe/Paris,0.0,4428,4184,0.00060000,2.510400
2026-01-01,9,Proxy,gateway.dfproxy.net,proxy-kiosko-t1,55,Proxy Gateway,Asia/Jakarta,15967.84,260409,248430,0.00045000,7.185528
2026-01-01,9,Scraper,kiosko.cl,kiosko-pdp,54,Kiosko/Retail,America/Santiago,0.0,8002,7398,0.00180000,13.316400
2026-01-01,9,Scraper,kiosko.pe,kiosko-pe-plp,56,Kiosko/Retail LATAM,America/Santiago,0.0,2602,2448,0.00150000,3.672000
2026-01-01,10,Account,auth.dfnet.io,bytecart-account-pool,59,Account Pool Global,UTC,0.0,14276,13557,0.00020000,2.711400
2026-01-01,10,Proxy,edge.dfproxy.net,proxy-bytecart-t1,58,Proxy Edge,Europe/Amsterdam,10870.48,140070,134783,0.00050000,5.435240
2026-01-01,10,Scraper,bytecart.io,bytecart-serp,57,Bytecart Search,UTC,0.0,34332,32331,0.00028000,9.052680
2026-01-01,11,Scraper,freshroute.id,freshroute-menu,60,Food Regular FreshRoute,Asia/Jakarta,0.0,8957,8663,0.00110000,9.529300
2026-01-01,11,Scraper,freshroute.my,freshroute-my-menu,61,Food Regular FreshRoute,Asia/Jakarta,0.0,3104,2869,0.00110000,3.155900
2026-01-01,11,Scraper,freshroute.id,freshroute-delivery,62,Logistic,Asia/Jakarta,0.0,2756,2555,0.00090000,2.299500
2026-01-01,12,Proxy,gateway.dfproxy.net,proxy-globalwear-t1,65,Proxy Gateway,UTC,5017.37,70321,66700,0.00048000,2.408338
2026-01-01,12,Scraper,globalwear.com,globalwear-pdp,63,GlobalWear/Retail,Europe/Berlin,0.0,4186,3997,0.00180000,7.194600
2026-01-01,12,Scraper,globalwear.eu,globalwear-eu-plp,64,GlobalWear/Retail EU,Europe/Berlin,0.0,2360,2222,0.00150000,3.333000
2026-01-01,13,Account,auth.dfnet.io,tokopanda-account-pool,67,Account Pool SEA,Asia/Jakarta,0.0,7748,7375,0.00020000,1.475000
2026-01-01,13,Scraper,tokopanda.co.id,tokopanda-pdp,66,Tokopanda/Retail,Asia/Jakarta,0.0,1314,1272,0.00180000,2.289600
2026-01-01,14,Account,auth.dfnet.io,pixelbay-account-pool,69,Account Pool Global,UTC,0.0,2369,2304,0.00020000,0.460800
2026-01-01,14,Scraper,pixelbay.io,pixelbay-asset,68,Pixelbay Catalog,UTC,0.0,1263,1239,0.00090000,1.115100
2026-01-02,1,Scraper,rakuza.co.kr,rakuza-pdp,1,Rakuza/Retail,Asia/Seoul,0.0,34705,33587,0.00300000,100.761000
2026-01-02,1,Scraper,m.rakuza.co.kr,rakuza-mobile-pdp,2,Rakuza/Retail,Asia/Seoul,0.0,16305,16038,0.00300000,48.114000
2026-01-02,1,Scraper,rakuza.co.kr,rakuza-plp,3,Rakuza/Retail,Asia/Seoul,0.0,20769,19331,0.00150000,28.996500
2026-01-02,1,Scraper,rakuza.com,rakuza-brand-store,7,Rakuza Promo,Asia/Seoul,0.0,14843,14497,0.00125000,18.121250
2026-01-02,1,Scraper,rakuza.com,rakuza-sitemap,10,Rakuza Discovery,Asia/Seoul,0.0,53322,51653,0.00028000,14.462840
2026-01-02,2,Proxy,gateway.dfproxy.net,proxy-vendora-t1,13,Proxy Gateway,Asia/Jakarta,63630.08,788849,765923,0.00045000,28.633536
2026-01-02,2,Proxy,edge.dfproxy.net,proxy-vendora-t2,15,Proxy Edge,Indian/Cocos,32995.5,380087,351836,0.00050000,16.497750
2026-01-02,2,Scraper,vendora.com.br,vendora-pdp,12,Vendora/Retail,America/Sao_Paulo,0.0,28179,27405,0.00180000,49.329000
2026-01-02,2,Scraper,vendora.mx,vendora-mx-plp,14,Vendora/Retail LATAM,America/Sao_Paulo,0.0,12621,11946,0.00150000,17.919000
2026-01-02,2,Scraper,vendora.com.br,vendora-seller,16,Vendora Marketplace,America/Sao_Paulo,0.0,11858,11405,0.00090000,10.264500
2026-01-02,2,Scraper,vendora.com.br,vendora-category,18,Vendora Discovery,America/Sao_Paulo,0.0,12415,11708,0.00090000,10.537200
2026-01-02,3,Proxy,gateway.dfproxy.net,proxy-zenkart-t1,21,Proxy Gateway,Indian/Cocos,44956.25,490808,471652,0.00048000,21.579000
2026-01-02,3,Proxy,edge.dfproxy.net,proxy-zenkart-t2,25,Proxy Edge,Asia/Jakarta,23544.26,279711,265094,0.00050000,11.772130
2026-01-02,3,Scraper,zenkart.co.id,zenkart-pdp,20,Zenkart/Retail,Asia/Jakarta,0.0,27412,25709,0.00180000,46.276200
2026-01-02,3,Scraper,zenkart.co.id,zenkart-food,22,Food Regular Zenkart,Asia/Jakarta,0.0,10369,10097,0.00110000,11.106700
2026-01-02,3,Scraper,zenkart.sg,zenkart-sg-plp,23,Zenkart/Retail SG,Asia/Jakarta,0.0,5904,5542,0.00150000,8.313000
2026-01-02,3,Scraper,zenkart.co.id,zenkart-transport,24,Transport,Asia/Jakarta,0.0,7715,7457,0.00090000,6.711300
2026-01-02,3,Scraper,zenkart.co.id,zenkart-brand-store,26,Zenkart Promo,Asia/Jakarta,0.0,7822,7703,0.00125000,9.628750
2026-01-02,4,Payments,payhub.io,payhub-retail,29,Payments/Retail,UTC,0.0,148636,140292,0.00028000,39.281760
2026-01-02,4,Payments,payhub.io,payhub-subscription,30,Payments/Subscription,UTC,0.0,56001,54484,0.00028000,15.255520
2026-01-02,4,Payments,api.payhub.io,payhub-payout,31,Payments/Payout,UTC,0.0,33588,32353,0.00032000,10.352960
2026-01-02,5,Proxy,gateway.dfproxy.net,proxy-mercora-t1,36,Proxy Gateway,Asia/Seoul,31184.37,438119,430744,0.00045000,14.032966
2026-01-02,5,Scraper,mercora.com,mercora-pdp,34,Mercora/Retail,Europe/Moscow,0.0,25572,23573,0.00180000,42.431400
2026-01-02,5,Scraper,mercora.com,mercora-price,35,Mercora Pricing,Europe/Moscow,0.0,14009,13189,0.00120000,15.826800
2026-01-02,5,Scraper,mercora.ru,mercora-seller,37,Mercora Marketplace,Europe/Moscow,0.0,9004,8418,0.00090000,7.576200
2026-01-02,5,Scraper,mercora.ru,mercora-review,38,Mercora Reviews,Europe/Moscow,0.0,12759,12095,0.00060000,7.257000
2026-01-02,6,Payments,pay.lumina-retail.com,lumina-checkout,43,Payments/Lumina,Asia/Singapore,0.0,8995,8724,0.00028000,2.442720
2026-01-02,6,Proxy,gateway.dfproxy.net,proxy-lumina-t1,41,Proxy Gateway,UTC,25969.75,336633,329394,0.00048000,12.465480
2026-01-02,6,Scraper,lumina-retail.com,lumina-pdp,40,Lumina/Retail,Asia/Singapore,0.0,10104,9717,0.00180000,17.490600
2026-01-02,6,Scraper,luminahome.com,lumina-home-plp,42,Lumina Home,Asia/Singapore,0.0,4165,3878,0.00150000,5.817000
2026-01-02,6,Scraper,lumina-retail.com,lumina-stock,44,Lumina Inventory,Asia/Singapore,0.0,3965,3674,0.00090000,3.306600
2026-01-02,6,Scraper,luminahome.com,lumina-review,45,Lumina Reviews,Asia/Singapore,0.0,9071,8581,0.00060000,5.148600
2026-01-02,7,Scraper,skyfare.com,skyfare-fare,46,Skyfare/Flights,Asia/Bangkok,0.0,5884,5549,0.00250000,13.872500
2026-01-02,7,Scraper,skyfare.com,skyfare-bundle,47,Skyfare Ancillary,Asia/Bangkok,0.0,6647,6297,0.00120000,7.556400
2026-01-02,7,Scraper,skyfare.com,skyfare-seat,48,Skyfare/Flights,Asia/Bangkok,0.0,6232,5897,0.00090000,5.307300
2026-01-02,7,Scraper,skyfare.com,skyfare-baggage,49,Skyfare Ancillary,Asia/Bangkok,0.0,6040,5636,0.00060000,3.381600
2026-01-02,8,Proxy,edge.dfproxy.net,proxy-nomadly-t1,51,Proxy Edge,Indian/Cocos,10820.44,109201,102414,0.00050000,5.410220
2026-01-02,8,Scraper,nomadly.travel,nomadly-hotel,50,Nomadly/Hotels,Europe/Paris,0.0,6349,6175,0.00220000,13.585000
2026-01-02,8,Scraper,nomadly.travel,nomadly-prorate,52,Nomadly Prorate,Europe/Paris,0.0,4212,4046,0.00090000,3.641400
2026-01-02,8,Scraper,nomadly.travel,nomadly-review,53,Nomadly Reviews,Europe/Paris,0.0,4829,4578,0.00060000,2.746800
2026-01-02,9,Proxy,gateway.dfproxy.net,proxy-kiosko-t1,55,Proxy Gateway,Asia/Jakarta,16882.01,277959,262653,0.00045000,7.596904
2026-01-02,9,Scraper,kiosko.cl,kiosko-pdp,54,Kiosko/Retail,America/Santiago,0.0,6963,6573,0.00180000,11.831400
2026-01-02,9,Scraper,kiosko.pe,kiosko-pe-plp,56,Kiosko/Retail LATAM,America/Santiago,0.0,2381,2230,0.00150000,3.345000
2026-01-02,10,Account,auth.dfnet.io,bytecart-account-pool,59,Account Pool Global,UTC,0.0,13491,12968,0.00020000,2.593600
2026-01-02,10,Proxy,edge.dfproxy.net,proxy-bytecart-t1,58,Proxy Edge,Europe/Amsterdam,10926.59,139164,135479,0.00050000,5.463295
2026-01-02,10,Scraper,bytecart.io,bytecart-serp,57,Bytecart Search,UTC,0.0,38824,36006,0.00028000,10.081680
2026-01-02,11,Scraper,freshroute.id,freshroute-menu,60,Food Regular FreshRoute,Asia/Jakarta,0.0,7870,7474,0.00110000,8.221400
